name@version *;license *;copyrights *;end-of-support;dependencies;language;repository;email;URL;license original;Description;ProjectName
axis-1.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
bcpkix-jdk15on-155.jar;"""BouncyCastle License""";Copyright non presente;-;-;Java;-;-;-;Bouncy Castle Licence: http://www.bouncycastle.org/licence.html;The Bouncy Castle Java APIs for CMS, PKCS, EAC, TSP, CMP, CRMF, OCSP, and certificate generation. This jar contains APIs for JDK 1.5 to JDK 1.8. The APIs can be used in conjunction with a JCE/JCA provider such as the one provided with the Bouncy Castle Cryptography APIs.;configuratoreweb
bcprov-jdk15on-155.jar;"""BouncyCastle License""";Copyright non presente;-;-;Java;-;-;-;Bouncy Castle Licence: http://www.bouncycastle.org/licence.html;The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.;configuratoreweb
commons-beanutils-bean-collections-1.8.3.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
commons-beanutils-core-1.8.3.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
commons-collections-3.2.1.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;Types that extend and augment the Java Collections Framework.;configuratoreweb
commons-digester-2.0.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;The Digester package lets you configure an XML to Java object mapping module     which triggers certain actions called rules whenever a particular      pattern of nested XML elements is recognized.;configuratoreweb
commons-httpclient-2.0.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;;The HttpClient  component supports the client-side of RFC 1945 (HTTP/1.0)  and RFC 2616 (HTTP/1.1) , several related specifications (RFC 2109 (Cookies) , RFC 2617 (HTTP Authentication) , etc.), and provides a framework by which new request types (methods) or HTTP extensions can be created easily.;configuratoreweb
commons-io-2.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.;configuratoreweb
commons-lang-2.6.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;Commons Lang, a package of Java utility classes for the         classes that are in java.lang's hierarchy, or are considered to be so         standard as to justify existence in java.lang.;configuratoreweb
cxf-core-3.3.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;Apache CXF Core;configuratoreweb
cxf-rt-databinding-aegis-3.3.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;Apache CXF Runtime Aegis Databinding;configuratoreweb
hibernate-core-4.2.18.Final.jar;"""LGPL-2.1""";Copyright non presente;-;-;Java;-;-;-;GNU Lesser General Public License: http://www.gnu.org/licenses/lgpl-2.1.html;A module of the Hibernate O/RM project;configuratoreweb
hibernate-validator-4.1.0.Final.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;Hibernate's Bean Validation (JSR-303) reference implementation.;configuratoreweb
jackson-mapper-asl-1.9.12.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;Data Mapper package is a high-performance data binding package built on Jackson JSON processor;configuratoreweb
jackson-xc-1.9.12.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt GNU Lesser General Public License (LGPL), Version 2.1: http://www.fsf.org/licensing/licenses/lgpl.txt;Extensions that provide interoperability support for Jackson JSON processor's data binding functionality.;configuratoreweb
jasypt-1.9.1.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;Java library which enables encryption in java apps with minimum effort.;configuratoreweb
jcs-1.3.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;;Comprehensive Caching System;configuratoreweb
jsse-1.0.3.jar;"""Libreria Java di Base""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
jstl-1.2.jar;"""CDDL-1.0; GPL-2.0""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
pdfbox-2.0.2.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;http://www.apache.org/licenses/LICENSE-2.0.txt;The Apache PDFBox library is an open source Java tool for working with PDF documents.;configuratoreweb
poi-3.17.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt;Apache POI - Java API To Access Microsoft Format Files;configuratoreweb
postgresql-42.2.6.jar;"""BSD-2-Clause""";Copyright non presente;-;-;Java;-;-;-;BSD-2-Clause: https://jdbc.postgresql.org/about/license.html;Java JDBC 4.2 (JRE 8+) driver for PostgreSQL database;configuratoreweb
soap-2.3.1.jar;"""Libreria Java di Base""";Copyright non presente;-;-;Java;-;-;-;;;configuratoreweb
spring-core-4.3.24.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0;Spring Core;configuratoreweb
spring-messaging-4.3.24.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0;Spring Messaging;configuratoreweb
spring-webmvc-4.3.24.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0;Spring Web MVC;configuratoreweb
spring-websocket-4.3.24.RELEASE.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0;Spring WebSocket;configuratoreweb
xmlsec-2.1.4.jar;"""Apache-2.0""";Copyright non presente;-;-;Java;-;-;-;Apache License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0.txt;Apache XML Security for Java supports XML-Signature Syntax and Processing,         W3C Recommendation 12 February 2002, and XML Encryption Syntax and         Processing, W3C Recommendation 10 December 2002. As of version 1.4,         the library supports the standard Java API JSR-105: XML Digital Signature APIs.;configuratoreweb
dom4j-1.6.1.jar;"""BSD""";Copyright non presente;-;-;Java;-;-;-;;dom4j: the flexible XML framework for Java;configuratoreweb
